Count	URL	HTTP_CODE	ENCODING	HTML	DUMP
[27]	https://logic.nju.edu.cn/b0/d6/c7603a176342/page.htm	200	UTF-8	../../aspirations/ch_html/ch_27.html	../../dumps-text/logique_chinois/dump_ch_27.txt
[28]	https://nodebe4.github.io/mjlsh/1989-06-04/%E8%A8%80%E4%B9%9D%E6%9E%97-%E9%80%BB%E8%BE%91%E8%AF%BE%E7%9A%84%E6%B6%88%E4%BA%A1/	200	utf-8	../../aspirations/ch_html/ch_28.html	../../dumps-text/logique_chinois/dump_ch_28.txt
[29]	https://hr.edu.cn/xueshu/202410/t20241015_2637078.shtml	200		../../aspirations/ch_html/ch_29.html	../../dumps-text/logique_chinois/dump_ch_29.txt
[30]	http://old.lifeweek.com.cn//2012/0801/38084.shtml	403		-	-
[31]	https://www.thepaper.cn/newsDetail_forward_26503473	403		-	-
[32]	https://www.thepaper.cn/newsDetail_forward_25764245	403		-	-
[33]	https://www.thepaper.cn/newsDetail_forward_29656291	403		-	-
[34]	https://chinadigitaltimes.net/chinese/313862.html	200	UTF-8	../../aspirations/ch_html/ch_34.html	../../dumps-text/logique_chinois/dump_ch_34.txt
[35]	https://www.cssn.cn/zx/zx_rdkx/202309/t20230925_5687663.shtml	200		../../aspirations/ch_html/ch_35.html	../../dumps-text/logique_chinois/dump_ch_35.txt
[36]	https://www.sass.org.cn/2011/0810/c1201a27303/page.htm	200		../../aspirations/ch_html/ch_36.html	../../dumps-text/logique_chinois/dump_ch_36.txt
[37]	https://m.xhinst.net/yjyzwbpcd/detail/20231229/19435738_%E8%AF%BB%E6%87%82%E4%B8%AD%E5%9B%BD%E7%BB%8F%E6%B5%8E%E7%9A%84%E5%A4%A7%E9%80%BB%E8%BE%91.html	200	utf-8	../../aspirations/ch_html/ch_37.html	../../dumps-text/logique_chinois/dump_ch_37.txt
[38]	https://36kr.com/p/1722848116737	200	utf-8	../../aspirations/ch_html/ch_38.html	../../dumps-text/logique_chinois/dump_ch_38.txt
[39]	https://philosophy.fudan.edu.cn/85/e3/c24657a427491/page.htm	200		../../aspirations/ch_html/ch_39.html	../../dumps-text/logique_chinois/dump_ch_39.txt
