token	corpus size	all contexts size	frequency	co-frequency	specificity
Reimer	262193	18769	4	3	2.87
Lists	262193	18769	4	3	2.87
Paradoxes	262193	18769	4	3	2.87
Representing	262193	18769	4	3	2.87
considerably	262193	18769	4	3	2.87
Origin	262193	18769	4	3	2.87
BBC	262193	18769	4	3	2.87
goal-reduction	262193	18769	4	3	2.87
XSB	262193	18769	4	3	2.87
suggests	262193	18769	4	3	2.87
teaches(john	262193	18769	4	3	2.87
Satisfiability	262193	18769	4	3	2.87
LAs	262193	18769	4	3	2.87
enriched	262193	18769	4	3	2.87
Statements	262193	18769	4	3	2.87
accommodate	262193	18769	8	4	2.86
assessing	262193	18769	8	4	2.86
considers	262193	18769	8	4	2.86
Islamic	262193	18769	8	4	2.86
265	262193	18769	8	4	2.86
Complex	262193	18769	8	4	2.86
BUTTON	262193	18769	299	35	2.86
correct	262193	18769	48	10	2.86
can	262193	18769	842	81	2.85
syntactic	262193	18769	26	7	2.81
memory	262193	18769	26	7	2.81
Programming	262193	18769	134	19	2.72
distinct	262193	18769	14	5	2.71
two	262193	18769	197	25	2.70
approach	262193	18769	96	15	2.67
problems	262193	18769	87	14	2.65
formalism	262193	18769	9	4	2.64
Later	262193	18769	9	4	2.64
Validity	262193	18769	9	4	2.64
Linear	262193	18769	9	4	2.64
triple	262193	18769	9	4	2.64
about	262193	18769	189	24	2.63
subsection	262193	18769	21	6	2.62
influential	262193	18769	21	6	2.62
Truth	262193	18769	36	8	2.58
quantifiers	262193	18769	15	5	2.57
Gödel	262193	18769	15	5	2.57
to	262193	18769	4403	350	2.53
commonly	262193	18769	29	7	2.53
seen	262193	18769	29	7	2.53
ACM	262193	18769	29	7	2.53
studied	262193	18769	22	6	2.51
List	262193	18769	22	6	2.51
Sandu	262193	18769	22	6	2.51
metaphysics	262193	18769	5	3	2.50
Avicenna	262193	18769	5	3	2.50
Burgess	262193	18769	5	3	2.50
126	262193	18769	5	3	2.50
Logicians	262193	18769	5	3	2.50
oriented	262193	18769	5	3	2.50
MMI	262193	18769	5	3	2.50
Generic	262193	18769	5	3	2.50
erasable	262193	18769	5	3	2.50
compilers	262193	18769	5	3	2.50
pins	262193	18769	5	3	2.50
clausal	262193	18769	5	3	2.50
Strict	262193	18769	5	3	2.50
optionally	262193	18769	5	3	2.50
meets	262193	18769	5	3	2.50
Deviant	262193	18769	10	4	2.45
intuitions	262193	18769	10	4	2.45
worlds	262193	18769	10	4	2.45
syllogism	262193	18769	10	4	2.45
dealing	262193	18769	10	4	2.45
Discover	262193	18769	10	4	2.45
allowing	262193	18769	10	4	2.45
Hardware	262193	18769	10	4	2.45
limitations	262193	18769	10	4	2.45
easier	262193	18769	10	4	2.45
foundation	262193	18769	16	5	2.44
References	262193	18769	38	8	2.44
History	262193	18769	83	13	2.42
elementary	262193	18769	23	6	2.42
somewhat	262193	18769	23	6	2.42
includes	262193	18769	56	10	2.38
thinking	262193	18769	31	7	2.37
extensions	262193	18769	31	7	2.37
dialect	262193	18769	31	7	2.37
We	262193	18769	104	15	2.37
developed	262193	18769	85	13	2.34
valid	262193	18769	66	11	2.34
how	262193	18769	201	24	2.33
subset	262193	18769	24	6	2.32
correctness	262193	18769	17	5	2.32
default	262193	18769	17	5	2.32
extends	262193	18769	17	5	2.32
modern	262193	18769	96	14	2.30
include	262193	18769	148	19	2.29
antiquity	262193	18769	2	2	2.29
assessed	262193	18769	2	2	2.29
Distinct	262193	18769	2	2	2.29
translating	262193	18769	2	2	2.29
Flies(Tweety	262193	18769	2	2	2.29
interchangeably	262193	18769	2	2	2.29
thousand	262193	18769	2	2	2.29
syllogistics	262193	18769	2	2	2.29
expand	262193	18769	2	2	2.29
130	262193	18769	2	2	2.29
deviations	262193	18769	2	2	2.29
constructive	262193	18769	2	2	2.29
Wilhelm	262193	18769	2	2	2.29
subfield	262193	18769	2	2	2.29
Hilary	262193	18769	2	2	2.29
quantum	262193	18769	2	2	2.29
Portrait	262193	18769	2	2	2.29
syllogistic	262193	18769	2	2	2.29
1900	262193	18769	2	2	2.29
Ted	262193	18769	2	2	2.29
Default	262193	18769	2	2	2.29
pre/post	262193	18769	2	2	2.29
mutable	262193	18769	2	2	2.29
intensional	262193	18769	2	2	2.29
economics,we	262193	18769	2	2	2.29
inattention	262193	18769	2	2	2.29
arithmetical	262193	18769	2	2	2.29
Unabridged	262193	18769	2	2	2.29
ic	262193	18769	2	2	2.29
logikós	262193	18769	2	2	2.29
Sentences	262193	18769	2	2	2.29
sum-of-products	262193	18769	2	2	2.29
discrete	262193	18769	2	2	2.29
JK	262193	18769	2	2	2.29
flip-flops	262193	18769	2	2	2.29
Fourteen	262193	18769	2	2	2.29
Flip-flop	262193	18769	2	2	2.29
Combinational	262193	18769	2	2	2.29
Three-dimensional	262193	18769	2	2	2.29
Emitter-coupled	262193	18769	2	2	2.29
ECL	262193	18769	2	2	2.29
Erasable	262193	18769	2	2	2.29
FPOA	262193	18769	2	2	2.29
Finite-state	262193	18769	2	2	2.29
grammars	262193	18769	2	2	2.29
generalises	262193	18769	2	2	2.29
λProlog	262193	18769	2	2	2.29
happens(move(Block	262193	18769	2	2	2.29
nondeterminism	262193	18769	2	2	2.29
HiLog	262193	18769	2	2	2.29
Denecker	262193	18769	2	2	2.29
nonmonotonic	262193	18769	2	2	2.29
LPS	262193	18769	2	2	2.29
Purely	262193	18769	2	2	2.29
GADTs	262193	18769	2	2	2.29
Point-free	262193	18769	2	2	2.29
Applicative	262193	18769	2	2	2.29
Concatenative	262193	18769	2	2	2.29
Function-level	262193	18769	2	2	2.29
Value-level	262193	18769	2	2	2.29
Dataflow	262193	18769	2	2	2.29
Flow-based	262193	18769	2	2	2.29
Reactive	262193	18769	2	2	2.29
Signals	262193	18769	2	2	2.29
Streams	262193	18769	2	2	2.29
Nondeterministic	262193	18769	2	2	2.29
Automata-based	262193	18769	2	2	2.29
Spacecraft	262193	18769	2	2	2.29
Differentiable	262193	18769	2	2	2.29
Actor-based	262193	18769	2	2	2.29
exclusion	262193	18769	2	2	2.29
Choreographic	262193	18769	2	2	2.29
OO	262193	18769	2	2	2.29
Macroprogramming	262193	18769	2	2	2.29
Multitier	262193	18769	2	2	2.29
Organic	262193	18769	2	2	2.29
Transduction	262193	18769	2	2	2.29
Cardinality	262193	18769	2	2	2.29
Compactness	262193	18769	2	2	2.29
Halting	262193	18769	2	2	2.29
Lindström's	262193	18769	2	2	2.29
Löwenheim–Skolem	262193	18769	2	2	2.29
Equiconsistency	262193	18769	2	2	2.29
Many-valued	262193	18769	2	2	2.29
Fixed-point	262193	18769	2	2	2.29
Kripke's	262193	18769	2	2	2.29
T-schema	262193	18769	2	2	2.29
Concrete/Abstract	262193	18769	2	2	2.29
Logicism	262193	18769	2	2	2.29
Supertask	262193	18769	2	2	2.29
DRT	262193	18769	2	2	2.29
Glue	262193	18769	2	2	2.29
Inquisitive	262193	18769	2	2	2.29
Mereology	262193	18769	2	2	2.29
SDRT	262193	18769	2	2	2.29
wars	262193	18769	2	2	2.29
warm	262193	18769	2	2	2.29
displays	262193	18769	2	2	2.29
payload	262193	18769	2	2	2.29
Duronio	262193	18769	2	2	2.29
company's	262193	18769	2	2	2.29
securities	262193	18769	2	2	2.29
maths	262193	18769	2	2	2.29
bioinformatics	262193	18769	2	2	2.29
Wray	262193	18769	2	2	2.29
syntactical	262193	18769	2	2	2.29
meta-level	262193	18769	2	2	2.29
LNCS	262193	18769	2	2	2.29
Fabien	262193	18769	2	2	2.29
Alberi	262193	18769	2	2	2.29
Debugging	262193	18769	2	2	2.29
unwielded	262193	18769	2	2	2.29
expressible	262193	18769	2	2	2.29
computations	262193	18769	2	2	2.29
extendable	262193	18769	2	2	2.29
Sandevall	262193	18769	2	2	2.29
refereed	262193	18769	2	2	2.29
hinge	262193	18769	2	2	2.29
reas	262193	18769	2	2	2.29
kn	262193	18769	2	2	2.29
of\ud	262193	18769	2	2	2.29
incidence	262193	18769	2	2	2.29
ıs	262193	18769	2	2	2.29
Moniz	262193	18769	2	2	2.29
dominant	262193	18769	11	4	2.29
formulae	262193	18769	11	4	2.29
ontological	262193	18769	11	4	2.29
Blair	262193	18769	11	4	2.29
engine	262193	18769	11	4	2.29
programmed	262193	18769	11	4	2.29
satisfiability	262193	18769	11	4	2.29
descriptions	262193	18769	11	4	2.29
positive	262193	18769	49	9	2.28
role	262193	18769	58	10	2.28
13	262193	18769	97	14	2.26
understand	262193	18769	41	8	2.25
forms	262193	18769	25	6	2.24
He	262193	18769	25	6	2.24
Nyaya	262193	18769	6	3	2.23
identical	262193	18769	6	3	2.23
Britannica	262193	18769	6	3	2.23
Substitution	262193	18769	6	3	2.23
Signetics	262193	18769	6	3	2.23
GALs	262193	18769	6	3	2.23
combines	262193	18769	6	3	2.23
went	262193	18769	6	3	2.23
Meander	262193	18769	6	3	2.23
implement	262193	18769	33	7	2.22
epistemology	262193	18769	18	5	2.21
Logics	262193	18769	18	5	2.21
challenges	262193	18769	18	5	2.21
grammar	262193	18769	18	5	2.21
more	262193	18769	406	41	2.21
functions	262193	18769	69	11	2.21
need	262193	18769	89	13	2.19
way	262193	18769	163	20	2.19
apply	262193	18769	51	9	2.18
object	262193	18769	51	9	2.18
is	262193	18769	3356	265	2.18
function	262193	18769	100	14	2.16
translation	262193	18769	34	7	2.16
popular	262193	18769	34	7	2.16
Syntax	262193	18769	26	6	2.15
refers	262193	18769	12	4	2.14
active	262193	18769	12	4	2.14
Communications	262193	18769	12	4	2.14
computation	262193	18769	12	4	2.14
computational	262193	18769	12	4	2.14
frame	262193	18769	52	9	2.13
introduces	262193	18769	19	5	2.11
operators	262193	18769	19	5	2.11
business	262193	18769	35	7	2.09
constraints	262193	18769	35	7	2.09
ethics	262193	18769	27	6	2.08
53	262193	18769	27	6	2.08
sometimes	262193	18769	36	7	2.03
Greek	262193	18769	7	3	2.02
Unlike	262193	18769	7	3	2.02
concise	262193	18769	7	3	2.02
analogous	262193	18769	7	3	2.02
Advertisement	262193	18769	7	3	2.02
Instruments	262193	18769	7	3	2.02
restrictions	262193	18769	7	3	2.02
Further	262193	18769	20	5	2.02
branch	262193	18769	13	4	2.02
electronics	262193	18769	13	4	2.02
performance	262193	18769	13	4	2.02
encode	262193	18769	13	4	2.02
representing	262193	18769	28	6	2.00
truth	262193	18769	95	13	1.99
been	262193	18769	244	26	1.94
Inference	262193	18769	29	6	1.94
solve	262193	18769	29	6	1.94
discipline	262193	18769	21	5	1.93
architecture	262193	18769	21	5	1.93
While	262193	18769	21	5	1.93
backward	262193	18769	21	5	1.93
categories	262193	18769	21	5	1.93
express	262193	18769	47	8	1.92
studies	262193	18769	38	7	1.92
draw	262193	18769	14	4	1.90
execution	262193	18769	14	4	1.90
executed	262193	18769	14	4	1.90
Hidden	262193	18769	14	4	1.90
lead	262193	18769	30	6	1.87
often	262193	18769	99	13	1.87
Dictionary	262193	18769	22	5	1.85
specification	262193	18769	22	5	1.85
complex	262193	18769	89	12	1.85
Frege	262193	18769	8	3	1.85
differs	262193	18769	8	3	1.85
invalid	262193	18769	8	3	1.85
computability	262193	18769	8	3	1.85
Texas	262193	18769	8	3	1.85
came	262193	18769	8	3	1.85
discovered	262193	18769	8	3	1.85
viewed	262193	18769	8	3	1.85
channel	262193	18769	8	3	1.85
compiled	262193	18769	3	2	1.85
microcontrollers	262193	18769	3	2	1.85
utilize	262193	18769	3	2	1.85
countable	262193	18769	3	2	1.85
articulates	262193	18769	3	2	1.85
deontic	262193	18769	3	2	1.85
134	262193	18769	3	2	1.85
Georg	262193	18769	3	2	1.85
pursued	262193	18769	3	2	1.85
challenging	262193	18769	3	2	1.85
183	262193	18769	3	2	1.85
topical	262193	18769	3	2	1.85
2991	262193	18769	3	2	1.85
3006	262193	18769	3	2	1.85
Väänänen	262193	18769	3	2	1.85
Ketland	262193	18769	3	2	1.85
guarded	262193	18769	3	2	1.85
robot	262193	18769	3	2	1.85
J.C	262193	18769	3	2	1.85
Anders	262193	18769	3	2	1.85
reconfigurable	262193	18769	3	2	1.85
TI	262193	18769	3	2	1.85
coined	262193	18769	3	2	1.85
jpg	262193	18769	3	2	1.85
cell	262193	18769	3	2	1.85
acceleration	262193	18769	3	2	1.85
execute	262193	18769	3	2	1.85
Marseille	262193	18769	3	2	1.85
appealing	262193	18769	3	2	1.85
Nationality	262193	18769	3	2	1.85
rank(john	262193	18769	3	2	1.85
Several	262193	18769	3	2	1.85
Expression-oriented	262193	18769	3	2	1.85
DSL	262193	18769	3	2	1.85
Traditional	262193	18769	3	2	1.85
Second-order	262193	18769	3	2	1.85
Strength	262193	18769	3	2	1.85
Recursion	262193	18769	3	2	1.85
Generative	262193	18769	3	2	1.85
Segmented	262193	18769	3	2	1.85
Pragmatics	262193	18769	3	2	1.85
phrase	262193	18769	3	2	1.85
Portable	262193	18769	3	2	1.85
activation	262193	18769	3	2	1.85
administrator	262193	18769	3	2	1.85
guilty	262193	18769	3	2	1.85
Buntine	262193	18769	3	2	1.85
suitability	262193	18769	3	2	1.85
reasonment	262193	18769	3	2	1.85
neat	262193	18769	3	2	1.85
continuous	262193	18769	3	2	1.85
makes	262193	18769	49	8	1.83
introduced	262193	18769	49	8	1.83
focus	262193	18769	49	8	1.83
world	262193	18769	59	9	1.82
so-called	262193	18769	31	6	1.81
semantic	262193	18769	31	6	1.81
hypothesis	262193	18769	31	6	1.81
For	262193	18769	289	29	1.81
within	262193	18769	80	11	1.80
tables	262193	18769	15	4	1.80
studying	262193	18769	15	4	1.80
paradox	262193	18769	15	4	1.80
FPGAs	262193	18769	15	4	1.80
T	262193	18769	193	21	1.80
contain	262193	18769	23	5	1.78
Artificial	262193	18769	71	10	1.76
33	262193	18769	32	6	1.75
47	262193	18769	32	6	1.75
like	262193	18769	161	18	1.74
proof	262193	18769	93	12	1.74
called	262193	18769	116	14	1.72
provide	262193	18769	83	11	1.71
They	262193	18769	83	11	1.71
whereas	262193	18769	24	5	1.71
key	262193	18769	24	5	1.71
search	262193	18769	62	9	1.71
Finally	262193	18769	16	4	1.71
solved	262193	18769	16	4	1.71
assess	262193	18769	9	3	1.70
psychology	262193	18769	9	3	1.70
Mathematica	262193	18769	9	3	1.70
realist	262193	18769	9	3	1.70
adopted	262193	18769	9	3	1.70
talk	262193	18769	9	3	1.70
GE	262193	18769	9	3	1.70
families	262193	18769	9	3	1.70
Let's	262193	18769	9	3	1.70
growing	262193	18769	9	3	1.70
1997	262193	18769	52	8	1.70
Deductive	262193	18769	33	6	1.70
particularly	262193	18769	33	6	1.70
description	262193	18769	73	10	1.69
made	262193	18769	84	11	1.68
most	262193	18769	176	19	1.68
1994	262193	18769	43	7	1.67
introduction	262193	18769	53	8	1.67
20	262193	18769	85	11	1.66
by	262193	18769	1101	89	1.65
implementation	262193	18769	34	6	1.65
semantics	262193	18769	940	77	1.64
it	262193	18769	887	73	1.63
Lecture	262193	18769	97	12	1.63
theorem	262193	18769	75	10	1.63
several	262193	18769	75	10	1.63
agreement	262193	18769	17	4	1.62
95	262193	18769	17	4	1.62
latter	262193	18769	17	4	1.62
Electronic	262193	18769	17	4	1.62
220	262193	18769	17	4	1.62
terms	262193	18769	168	18	1.61
every	262193	18769	65	9	1.61
OR	262193	18769	35	6	1.60
When	262193	18769	55	8	1.59
want	262193	18769	26	5	1.59
replaced	262193	18769	10	3	1.58
substantive	262193	18769	10	3	1.58
sound	262193	18769	10	3	1.58
systematic	262193	18769	10	3	1.58
discourse	262193	18769	10	3	1.58
innovations	262193	18769	10	3	1.58
Principia	262193	18769	10	3	1.58
Probability	262193	18769	10	3	1.58
Statement	262193	18769	10	3	1.58
English	262193	18769	66	9	1.58
teach	262193	18769	4	2	1.58
Mohism	262193	18769	4	2	1.58
restrict	262193	18769	4	2	1.58
denotations	262193	18769	4	2	1.58
metaphysical	262193	18769	4	2	1.58
lie	262193	18769	4	2	1.58
comprises	262193	18769	4	2	1.58
Symbol	262193	18769	4	2	1.58
xB(x	262193	18769	4	2	1.58
Ibn	262193	18769	4	2	1.58
193	262193	18769	4	2	1.58
203	262193	18769	4	2	1.58
204	262193	18769	4	2	1.58
MacFarlane	262193	18769	4	2	1.58
Haaparanta	262193	18769	4	2	1.58
Ewald	262193	18769	4	2	1.58
separation	262193	18769	4	2	1.58
bigger	262193	18769	4	2	1.58
CVC	262193	18769	4	2	1.58
costly	262193	18769	4	2	1.58
mask-programmable	262193	18769	4	2	1.58
Altera	262193	18769	4	2	1.58
combinational	262193	18769	4	2	1.58
programmers	262193	18769	4	2	1.58
Memory	262193	18769	4	2	1.58
Sequential	262193	18769	4	2	1.58
High-level	262193	18769	4	2	1.58
Hierarchical	262193	18769	4	2	1.58
CLP	262193	18769	4	2	1.58
professor	262193	18769	4	2	1.58
goal-directed	262193	18769	4	2	1.58
induces	262193	18769	4	2	1.58
Forum	262193	18769	4	2	1.58
Combining	262193	18769	4	2	1.58
Total	262193	18769	4	2	1.58
reactive	262193	18769	4	2	1.58
Command	262193	18769	4	2	1.58
two-level	262193	18769	4	2	1.58
subtractor	262193	18769	4	2	1.58
Lemma	262193	18769	4	2	1.58
Consistency	262193	18769	4	2	1.58
Monadic	262193	18769	4	2	1.58
Intensional	262193	18769	4	2	1.58
Linguistics	262193	18769	4	2	1.58
Siemens	262193	18769	4	2	1.58
sabotage	262193	18769	4	2	1.58
se	262193	18769	4	2	1.58
Taking	262193	18769	4	2	1.58
Actually	262193	18769	4	2	1.58
Despite	262193	18769	4	2	1.58
correspondance	262193	18769	4	2	1.58
Loke	262193	18769	4	2	1.58
Davidson	262193	18769	4	2	1.58
Lu	262193	18769	4	2	1.58
meaning	262193	18769	56	8	1.56
its	262193	18769	363	33	1.55
directly	262193	18769	36	6	1.55
Related	262193	18769	36	6	1.55
code	262193	18769	67	9	1.55
applying	262193	18769	18	4	1.55
North	262193	18769	18	4	1.55
Groarke	262193	18769	18	4	1.55
hardware	262193	18769	18	4	1.55
interpreted	262193	18769	18	4	1.55
notation	262193	18769	18	4	1.55
implementations	262193	18769	18	4	1.55
negation	262193	18769	46	7	1.55
point	262193	18769	78	10	1.55
b	262193	18769	235	23	1.54
that	262193	18769	2165	161	1.54
difficult	262193	18769	27	5	1.53
solving	262193	18769	27	5	1.53
databases	262193	18769	68	9	1.52
Set	262193	18769	37	6	1.50
while	262193	18769	80	10	1.49
some	262193	18769	265	25	1.49
which	262193	18769	628	52	1.49
8	262193	18769	214	21	1.48
contains	262193	18769	19	4	1.48
differences	262193	18769	19	4	1.48
Concepts	262193	18769	19	4	1.48
treated	262193	18769	11	3	1.48
Bertrand	262193	18769	11	3	1.48
Magnus	262193	18769	11	3	1.48
Spade	262193	18769	11	3	1.48
challenge	262193	18769	11	3	1.48
explicit	262193	18769	11	3	1.48
Next	262193	18769	11	3	1.48
