token	corpus size	all contexts size	frequency	co-frequency	specificity
contudo	64096	3307	28	7	3.42
hath	64096	3307	8	4	3.40
temporal	64096	3307	8	4	3.40
como	64096	3307	567	47	3.34
port	64096	3307	4	3	3.28
postular	64096	3307	4	3	3.28
idêntico	64096	3307	4	3	3.28
causa	64096	3307	30	7	3.23
afirma	64096	3307	39	8	3.23
longo	64096	3307	22	6	3.22
estrutura	64096	3307	23	6	3.11
críticas	64096	3307	10	4	2.97
realidade	64096	3307	43	8	2.94
partes	64096	3307	17	5	2.92
lógico	64096	3307	17	5	2.92
refere	64096	3307	25	6	2.91
responder	64096	3307	5	3	2.91
eliminar	64096	3307	5	3	2.91
disto	64096	3307	5	3	2.91
aplicar	64096	3307	5	3	2.91
domínios	64096	3307	5	3	2.91
incoerência	64096	3307	5	3	2.91
necessárias	64096	3307	11	4	2.79
auto	64096	3307	11	4	2.79
nada	64096	3307	56	9	2.79
entre	64096	3307	183	19	2.76
tenha	64096	3307	19	5	2.69
las	64096	3307	6	3	2.63
idênticas	64096	3307	6	3	2.63
silogística	64096	3307	2	2	2.57
louco	64096	3307	2	2	2.57
aristotélica	64096	3307	2	2	2.57
imprecisa	64096	3307	2	2	2.57
ataca	64096	3307	2	2	2.57
contraditórias	64096	3307	2	2	2.57
geometria	64096	3307	2	2	2.57
grilhões	64096	3307	2	2	2.57
adversárias	64096	3307	2	2	2.57
alemãs	64096	3307	2	2	2.57
centrar	64096	3307	2	2	2.57
dita	64096	3307	2	2	2.57
separa	64096	3307	2	2	2.57
vazios	64096	3307	2	2	2.57
insista	64096	3307	2	2	2.57
acomodar	64096	3307	2	2	2.57
evidentes	64096	3307	2	2	2.57
acredito	64096	3307	2	2	2.57
quanto	64096	3307	50	8	2.54
anti	64096	3307	13	4	2.50
dado	64096	3307	21	5	2.50
crença	64096	3307	21	5	2.50
apenas	64096	3307	100	12	2.45
facto	64096	3307	31	6	2.43
podemos	64096	3307	31	6	2.43
sustenta	64096	3307	7	3	2.41
própria	64096	3307	22	5	2.41
lei	64096	3307	53	8	2.39
existência	64096	3307	42	7	2.39
quais	64096	3307	54	8	2.34
textos	64096	3307	15	4	2.27
questão	64096	3307	34	6	2.24
sem	64096	3307	121	13	2.23
aceitar	64096	3307	8	3	2.23
bivalência	64096	3307	8	3	2.23
texto	64096	3307	46	7	2.18
proposições	64096	3307	25	5	2.17
relação	64096	3307	58	8	2.17
considera	64096	3307	16	4	2.17
são	64096	3307	323	26	2.12
delegação	64096	3307	3	2	2.12
michel	64096	3307	3	2	2.12
respeita	64096	3307	3	2	2.12
reductio	64096	3307	3	2	2.12
ignorar	64096	3307	3	2	2.12
nestas	64096	3307	3	2	2.12
reservas	64096	3307	3	2	2.12
vocação	64096	3307	3	2	2.12
critica	64096	3307	3	2	2.12
apoia	64096	3307	3	2	2.12
aceitação	64096	3307	3	2	2.12
fazê	64096	3307	3	2	2.12
considerá	64096	3307	3	2	2.12
correcto	64096	3307	3	2	2.12
encara	64096	3307	3	2	2.12
compete	64096	3307	3	2	2.12
sintácticas	64096	3307	3	2	2.12
exigir	64096	3307	3	2	2.12
direcção	64096	3307	3	2	2.12
morre	64096	3307	3	2	2.12
suas	64096	3307	60	8	2.09
viver	64096	3307	9	3	2.08
vimos	64096	3307	9	3	2.08
símbolos	64096	3307	9	3	2.08
terceiro	64096	3307	9	3	2.08
objectos	64096	3307	17	4	2.07
contradição	64096	3307	37	6	2.07
assim	64096	3307	132	13	1.97
ciência	64096	3307	51	7	1.96
razões	64096	3307	10	3	1.94
devido	64096	3307	10	3	1.94
comuns	64096	3307	10	3	1.94
pensar	64096	3307	29	5	1.92
duas	64096	3307	65	8	1.91
mesmo	64096	3307	93	10	1.88
seja	64096	3307	122	12	1.87
daqueles	64096	3307	4	2	1.84
fizeram	64096	3307	4	2	1.84
steven	64096	3307	4	2	1.84
hales	64096	3307	4	2	1.84
entradas	64096	3307	4	2	1.84
chegando	64096	3307	4	2	1.84
logic	64096	3307	4	2	1.84
habitual	64096	3307	4	2	1.84
aplicada	64096	3307	4	2	1.84
aplica	64096	3307	4	2	1.84
forem	64096	3307	4	2	1.84
conjuntos	64096	3307	4	2	1.84
excluído	64096	3307	4	2	1.84
demonstração	64096	3307	4	2	1.84
está	64096	3307	109	11	1.83
distinção	64096	3307	20	4	1.83
primeira	64096	3307	55	7	1.81
princípios	64096	3307	12	3	1.73
bons	64096	3307	12	3	1.73
vida	64096	3307	146	13	1.69
só	64096	3307	59	7	1.68
menos	64096	3307	46	6	1.67
argumentação	64096	3307	5	2	1.64
english	64096	3307	5	2	1.64
ciente	64096	3307	5	2	1.64
tentativa	64096	3307	5	2	1.64
schutte	64096	3307	5	2	1.64
haar	64096	3307	5	2	1.64
compare	64096	3307	5	2	1.64
profunda	64096	3307	5	2	1.64
evidente	64096	3307	5	2	1.64
sustentar	64096	3307	5	2	1.64
põe	64096	3307	5	2	1.64
fornece	64096	3307	5	2	1.64
discurso	64096	3307	5	2	1.64
ontologia	64096	3307	5	2	1.64
metafísicos	64096	3307	5	2	1.64
realistas	64096	3307	5	2	1.64
relsen	64096	3307	5	2	1.64
eliminação	64096	3307	5	2	1.64
escassez	64096	3307	5	2	1.64
contra	64096	3307	23	4	1.64
base	64096	3307	47	6	1.64
qual	64096	3307	76	8	1.59
nossa	64096	3307	62	7	1.59
nas	64096	3307	80	8	1.49
básicos	64096	3307	6	2	1.49
variáveis	64096	3307	6	2	1.49
válida	64096	3307	6	2	1.49
explicação	64096	3307	15	3	1.48
aspectos	64096	3307	15	3	1.48
ambos	64096	3307	15	3	1.48
questões	64096	3307	39	5	1.46
matemática	64096	3307	39	5	1.46
segunda	64096	3307	27	4	1.43
certa	64096	3307	16	3	1.41
ainda	64096	3307	85	8	1.39
clara	64096	3307	7	2	1.37
âmbito	64096	3307	7	2	1.37
quadro	64096	3307	7	2	1.37
concluir	64096	3307	7	2	1.37
errado	64096	3307	7	2	1.37
século	64096	3307	17	3	1.35
iii	64096	3307	29	4	1.35
humanos	64096	3307	18	3	1.30
fresco	64096	3307	1	1	1.29
repente	64096	3307	1	1	1.29
cabem	64096	3307	1	1	1.29
aproximações	64096	3307	1	1	1.29
rápido	64096	3307	1	1	1.29
puros	64096	3307	1	1	1.29
coerentes	64096	3307	1	1	1.29
internas	64096	3307	1	1	1.29
crerão	64096	3307	1	1	1.29
responderão	64096	3307	1	1	1.29
clássicos	64096	3307	1	1	1.29
indisponível	64096	3307	1	1	1.29
iluminada	64096	3307	1	1	1.29
heurístico	64096	3307	1	1	1.29
geométrica	64096	3307	1	1	1.29
pedagógico	64096	3307	1	1	1.29
merecer	64096	3307	1	1	1.29
incontornável	64096	3307	1	1	1.29
cativo	64096	3307	1	1	1.29
epistemológico	64096	3307	1	1	1.29
foucault	64096	3307	1	1	1.29
episteme	64096	3307	1	1	1.29
inovadora	64096	3307	1	1	1.29
desidério	64096	3307	1	1	1.29
murcho	64096	3307	1	1	1.29
peculiar	64096	3307	1	1	1.29
cem	64096	3307	1	1	1.29
sine	64096	3307	1	1	1.29
qua	64096	3307	1	1	1.29
filosofar	64096	3307	1	1	1.29
canónicos	64096	3307	1	1	1.29
pouquíssimo	64096	3307	1	1	1.29
excêntrico	64096	3307	1	1	1.29
filólogo	64096	3307	1	1	1.29
lançar	64096	3307	1	1	1.29
oponente	64096	3307	1	1	1.29
rígidas	64096	3307	1	1	1.29
morgan	64096	3307	1	1	1.29
boole	64096	3307	1	1	1.29
gottlob	64096	3307	1	1	1.29
frege	64096	3307	1	1	1.29
inventor	64096	3307	1	1	1.29
seminal	64096	3307	1	1	1.29
die	64096	3307	1	1	1.29
grunlagen	64096	3307	1	1	1.29
idiossincrática	64096	3307	1	1	1.29
baralhada	64096	3307	1	1	1.29
aparentes	64096	3307	1	1	1.29
vacilações	64096	3307	1	1	1.29
retórico	64096	3307	1	1	1.29
obliteração	64096	3307	1	1	1.29
invectiva	64096	3307	1	1	1.29
levada	64096	3307	1	1	1.29
pressupor	64096	3307	1	1	1.29
emerge	64096	3307	1	1	1.29
criámos	64096	3307	1	1	1.29
efectivo	64096	3307	1	1	1.29
escravidão	64096	3307	1	1	1.29
conclua	64096	3307	1	1	1.29
inimiga	64096	3307	1	1	1.29
amiga	64096	3307	1	1	1.29
silenciar	64096	3307	1	1	1.29
tendendo	64096	3307	1	1	1.29
chocante	64096	3307	1	1	1.29
infira	64096	3307	1	1	1.29
encoraja	64096	3307	1	1	1.29
foge	64096	3307	1	1	1.29
aborto	64096	3307	1	1	1.29
preceitos	64096	3307	1	1	1.29
variadíssimas	64096	3307	1	1	1.29
óbvias	64096	3307	1	1	1.29
sui	64096	3307	1	1	1.29
violentação	64096	3307	1	1	1.29
perversão	64096	3307	1	1	1.29
entregar	64096	3307	1	1	1.29
atacado	64096	3307	1	1	1.29
unicidade	64096	3307	1	1	1.29
fluida	64096	3307	1	1	1.29
dionisíaca	64096	3307	1	1	1.29
rígida	64096	3307	1	1	1.29
treze	64096	3307	1	1	1.29
acabadas	64096	3307	1	1	1.29
conceptualização	64096	3307	1	1	1.29
edifico	64096	3307	1	1	1.29
exala	64096	3307	1	1	1.29
discute	64096	3307	1	1	1.29
estilhaça	64096	3307	1	1	1.29
recusamos	64096	3307	1	1	1.29
verá	64096	3307	1	1	1.29
hesita	64096	3307	1	1	1.29
repúdio	64096	3307	1	1	1.29
poluído	64096	3307	1	1	1.29
lamenta	64096	3307	1	1	1.29
receia	64096	3307	1	1	1.29
saco	64096	3307	1	1	1.29
dedicando	64096	3307	1	1	1.29
desambigúe	64096	3307	1	1	1.29
barco	64096	3307	1	1	1.29
promove	64096	3307	1	1	1.29
problemáticas	64096	3307	1	1	1.29
fulcrais	64096	3307	1	1	1.29
enraíza	64096	3307	1	1	1.29
desejo	64096	3307	1	1	1.29
retrógrada	64096	3307	1	1	1.29
falsifica	64096	3307	1	1	1.29
desnecessária	64096	3307	1	1	1.29
sintáctico	64096	3307	1	1	1.29
mantém	64096	3307	1	1	1.29
preocupar	64096	3307	1	1	1.29
falando	64096	3307	1	1	1.29
sustente	64096	3307	1	1	1.29
traçada	64096	3307	1	1	1.29
sentia	64096	3307	1	1	1.29
atraído	64096	3307	1	1	1.29
impulsos	64096	3307	1	1	1.29
reserva	64096	3307	1	1	1.29
integrável	64096	3307	1	1	1.29
inscrita	64096	3307	1	1	1.29
origina	64096	3307	1	1	1.29
forneça	64096	3307	1	1	1.29
aceitável	64096	3307	1	1	1.29
suspeitar	64096	3307	1	1	1.29
efectivas	64096	3307	1	1	1.29
pensaria	64096	3307	1	1	1.29
advento	64096	3307	1	1	1.29
almejada	64096	3307	1	1	1.29
efectiva	64096	3307	1	1	1.29
exprimir	64096	3307	1	1	1.29
esboçado	64096	3307	1	1	1.29
traços	64096	3307	1	1	1.29
largos	64096	3307	1	1	1.29
afecta	64096	3307	1	1	1.29
populados	64096	3307	1	1	1.29
adopte	64096	3307	1	1	1.29
aceitemos	64096	3307	1	1	1.29
directa	64096	3307	1	1	1.29
apoiarmo	64096	3307	1	1	1.29
fizermos	64096	3307	1	1	1.29
critério	64096	3307	1	1	1.29
prestes	64096	3307	1	1	1.29
vívido	64096	3307	1	1	1.29
hominem	64096	3307	1	1	1.29
inferir	64096	3307	1	1	1.29
multivalência	64096	3307	1	1	1.29
abjurar	64096	3307	1	1	1.29
modificar	64096	3307	1	1	1.29
flexão	64096	3307	1	1	1.29
improvável	64096	3307	1	1	1.29
esotérico	64096	3307	1	1	1.29
ramo	64096	3307	1	1	1.29
existia	64096	3307	1	1	1.29
géneros	64096	3307	1	1	1.29
átomo	64096	3307	1	1	1.29
reconstrução	64096	3307	1	1	1.29
escondida	64096	3307	1	1	1.29
queixas	64096	3307	1	1	1.29
libertar	64096	3307	1	1	1.29
königsbergianos	64096	3307	1	1	1.29
acusação	64096	3307	1	1	1.29
enganar	64096	3307	1	1	1.29
destrua	64096	3307	1	1	1.29
crucial	64096	3307	1	1	1.29
preservação	64096	3307	1	1	1.29
lvi	64096	3307	1	1	1.29
write	64096	3307	1	1	1.29
read	64096	3307	1	1	1.29
apr	64096	3307	1	1	1.29
objetivas	64096	3307	1	1	1.29
atentarei	64096	3307	1	1	1.29
analise	64096	3307	1	1	1.29
implícita	64096	3307	1	1	1.29
principio	64096	3307	1	1	1.29
obtém	64096	3307	1	1	1.29
dupla	64096	3307	1	1	1.29
justificá	64096	3307	1	1	1.29
provada	64096	3307	1	1	1.29
deathnote	64096	3307	1	1	1.29
assistido	64096	3307	1	1	1.29
recomendo	64096	3307	1	1	1.29
pule	64096	3307	1	1	1.29
valorização	64096	3307	1	1	1.29
rege	64096	3307	1	1	1.29
praias	64096	3307	1	1	1.29
eleva	64096	3307	1	1	1.29
adquirem	64096	3307	1	1	1.29
postados	64096	3307	1	1	1.29
tools	64096	3307	1	1	1.29
vetorial	64096	3307	1	1	1.29
indexados	64096	3307	1	1	1.29
dizemos	64096	3307	1	1	1.29
pediu	64096	3307	1	1	1.29
motorista	64096	3307	1	1	1.29
abordado	64096	3307	1	1	1.29
figuras	64096	3307	1	1	1.29
queriam	64096	3307	1	1	1.29
trocado	64096	3307	1	1	1.29
subnutrição	64096	3307	1	1	1.29
batata	64096	3307	1	1	1.29
sé	64096	3307	1	1	1.29
coaduna	64096	3307	1	1	1.29
sanguíneos	64096	3307	1	1	1.29
sistêmicas	64096	3307	1	1	1.29
preside	64096	3307	1	1	1.29
perfusão	64096	3307	1	1	1.29
fundar	64096	3307	1	1	1.29
solidez	64096	3307	1	1	1.29
impugnar	64096	3307	1	1	1.29
aduzida	64096	3307	1	1	1.29
infringe	64096	3307	1	1	1.29
trânsito	64096	3307	1	1	1.29
ser	64096	3307	325	21	1.27
nela	64096	3307	8	2	1.27
conclusões	64096	3307	8	2	1.27
destruição	64096	3307	8	2	1.27
existente	64096	3307	8	2	1.27
segue	64096	3307	8	2	1.27
conexão	64096	3307	8	2	1.27
exige	64096	3307	8	2	1.27
lá	64096	3307	8	2	1.27
defesa	64096	3307	8	2	1.27
chama	64096	3307	8	2	1.27
terceira	64096	3307	8	2	1.27
pertence	64096	3307	8	2	1.27
mas	64096	3307	235	16	1.25
lugar	64096	3307	19	3	1.24
seres	64096	3307	19	3	1.24
exemplo	64096	3307	77	7	1.24
argumento	64096	3307	32	4	1.24
modo	64096	3307	62	6	1.22
mesma	64096	3307	33	4	1.20
sua	64096	3307	204	14	1.20
negação	64096	3307	20	3	1.20
sobretudo	64096	3307	9	2	1.18
pergunta	64096	3307	9	2	1.18
morrer	64096	3307	9	2	1.18
otl	64096	3307	9	2	1.18
perfeita	64096	3307	9	2	1.18
várias	64096	3307	9	2	1.18
direta	64096	3307	9	2	1.18
com	64096	3307	592	32	1.15
vontade	64096	3307	21	3	1.15
interpretação	64096	3307	21	3	1.15
por	64096	3307	533	29	1.14
esta	64096	3307	119	9	1.13
quando	64096	3307	102	8	1.12
raciocínio	64096	3307	22	3	1.11
seus	64096	3307	68	6	1.11
tenham	64096	3307	10	2	1.11
gramática	64096	3307	10	2	1.11
fome	64096	3307	10	2	1.11
até	64096	3307	52	5	1.10
mais	64096	3307	367	21	1.10
tem	64096	3307	104	8	1.10
dizer	64096	3307	37	4	1.09
verdade	64096	3307	53	5	1.08
das	64096	3307	328	19	1.08
mente	64096	3307	23	3	1.07
toda	64096	3307	23	3	1.07
portanto	64096	3307	38	4	1.06
esquema	64096	3307	11	2	1.04
vemos	64096	3307	11	2	1.04
passagem	64096	3307	11	2	1.04
premissas	64096	3307	11	2	1.04
indução	64096	3307	11	2	1.04
embora	64096	3307	24	3	1.04
dos	64096	3307	363	18	1.02
estas	64096	3307	40	4	1.02
aqui	64096	3307	40	4	1.02
sendo	64096	3307	40	4	1.02
numerosas	64096	3307	2	1	1.01
acepções	64096	3307	2	1	1.01
progressão	64096	3307	2	1	1.01
eterno	64096	3307	2	1	1.01
decreto	64096	3307	2	1	1.01
frança	64096	3307	2	1	1.01
arménias	64096	3307	2	1	1.01
nicole	64096	3307	2	1	1.01
dedicadas	64096	3307	2	1	1.01
conceber	64096	3307	2	1	1.01
clássica	64096	3307	2	1	1.01
informal	64096	3307	2	1	1.01
ocupam	64096	3307	2	1	1.01
non	64096	3307	2	1	1.01
hilliard	64096	3307	2	1	1.01
dedicado	64096	3307	2	1	1.01
reichert	64096	3307	2	1	1.01
silêncio	64096	3307	2	1	1.01
clássico	64096	3307	2	1	1.01
absurdum	64096	3307	2	1	1.01
xix	64096	3307	2	1	1.01
publicou	64096	3307	2	1	1.01
der	64096	3307	2	1	1.01
estarem	64096	3307	2	1	1.01
criticar	64096	3307	2	1	1.01
favorito	64096	3307	2	1	1.01
táctica	64096	3307	2	1	1.01
igualdade	64096	3307	2	1	1.01
postulado	64096	3307	2	1	1.01
tornámos	64096	3307	2	1	1.01
década	64096	3307	2	1	1.01
ofelia	64096	3307	2	1	1.01
destruir	64096	3307	2	1	1.01
ilusórias	64096	3307	2	1	1.01
cruciais	64096	3307	2	1	1.01
maus	64096	3307	2	1	1.01
dispôs	64096	3307	2	1	1.01
drafts	64096	3307	2	1	1.01
disposto	64096	3307	2	1	1.01
deitar	64096	3307	2	1	1.01
intuição	64096	3307	2	1	1.01
abandonar	64096	3307	2	1	1.01
parar	64096	3307	2	1	1.01
superstição	64096	3307	2	1	1.01
noutras	64096	3307	2	1	1.01
rigoroso	64096	3307	2	1	1.01
finais	64096	3307	2	1	1.01
examinar	64096	3307	2	1	1.01
suposta	64096	3307	2	1	1.01
dependência	64096	3307	2	1	1.01
ilusório	64096	3307	2	1	1.01
inventado	64096	3307	2	1	1.01
ataque	64096	3307	2	1	1.01
eco	64096	3307	2	1	1.01
inventada	64096	3307	2	1	1.01
aprendeu	64096	3307	2	1	1.01
iniciais	64096	3307	2	1	1.01
aborda	64096	3307	2	1	1.01
divide	64096	3307	2	1	1.01
universos	64096	3307	2	1	1.01
letra	64096	3307	2	1	1.01
correctas	64096	3307	2	1	1.01
subtis	64096	3307	2	1	1.01
pudesse	64096	3307	2	1	1.01
expressa	64096	3307	2	1	1.01
estariam	64096	3307	2	1	1.01
goodman	64096	3307	2	1	1.01
abandono	64096	3307	2	1	1.01
pensado	64096	3307	2	1	1.01
postura	64096	3307	2	1	1.01
enganado	64096	3307	2	1	1.01
hipóteses	64096	3307	2	1	1.01
combinação	64096	3307	2	1	1.01
derrida	64096	3307	2	1	1.01
sobram	64096	3307	2	1	1.01
observação	64096	3307	2	1	1.01
tendem	64096	3307	2	1	1.01
contemporânea	64096	3307	2	1	1.01
sincrónica	64096	3307	2	1	1.01
centra	64096	3307	2	1	1.01
perspectívica	64096	3307	2	1	1.01
engana	64096	3307	2	1	1.01
objecção	64096	3307	2	1	1.01
origens	64096	3307	2	1	1.01
separar	64096	3307	2	1	1.01
clássicas	64096	3307	2	1	1.01
evitando	64096	3307	2	1	1.01
falácias	64096	3307	2	1	1.01
saltos	64096	3307	2	1	1.01
triângulo	64096	3307	2	1	1.01
contenha	64096	3307	2	1	1.01
anime	64096	3307	2	1	1.01
baseados	64096	3307	2	1	1.01
negações	64096	3307	2	1	1.01
seguiu	64096	3307	2	1	1.01
visita	64096	3307	2	1	1.01
caros	64096	3307	2	1	1.01
ângulos	64096	3307	2	1	1.01
atualização	64096	3307	2	1	1.01
garantia	64096	3307	2	1	1.01
coerente	64096	3307	2	1	1.01
helena	64096	3307	2	1	1.01
doença	64096	3307	2	1	1.01
recomenda	64096	3307	2	1	1.01
avaliações	64096	3307	2	1	1.01
sucessão	64096	3307	2	1	1.01
quisermos	64096	3307	2	1	1.01
mês	64096	3307	2	1	1.01
braga	64096	3307	2	1	1.01
vasos	64096	3307	2	1	1.01
simpático	64096	3307	2	1	1.01
cogito	64096	3307	2	1	1.01
matemáticas	64096	3307	2	1	1.01
normas	64096	3307	2	1	1.01
transformações	64096	3307	2	1	1.01
sistemas	64096	3307	25	3	1.01
poderia	64096	3307	41	4	1.00
estar	64096	3307	41	4	1.00
nos	64096	3307	200	12	0.99
pão	64096	3307	12	2	0.99
declara	64096	3307	12	2	0.99
tendo	64096	3307	12	2	0.99
aspecto	64096	3307	12	2	0.99
última	64096	3307	12	2	0.99
desde	64096	3307	26	3	0.98
porque	64096	3307	61	5	0.95
obra	64096	3307	27	3	0.95
faz	64096	3307	44	4	0.94
atenção	64096	3307	13	2	0.94
afirmar	64096	3307	13	2	0.94
desta	64096	3307	28	3	0.92
termos	64096	3307	45	4	0.92
seria	64096	3307	45	4	0.92
este	64096	3307	105	7	0.91
ter	64096	3307	65	5	0.90
ideia	64096	3307	29	3	0.90
enquanto	64096	3307	29	3	0.90
estava	64096	3307	14	2	0.89
dúvida	64096	3307	14	2	0.89
escreve	64096	3307	14	2	0.89
condição	64096	3307	14	2	0.89
fazem	64096	3307	14	2	0.89
etc	64096	3307	14	2	0.89
textual	64096	3307	14	2	0.89
eleatas	64096	3307	14	2	0.89
coisa	64096	3307	47	4	0.89
apesar	64096	3307	30	3	0.87
natural	64096	3307	30	3	0.87
tal	64096	3307	48	4	0.87
também	64096	3307	177	9	0.87
pode	64096	3307	172	8	0.86
mundo	64096	3307	114	7	0.86
mística	64096	3307	3	1	0.86
perseverança	64096	3307	3	1	0.86
baseada	64096	3307	3	1	0.86
arnauld	64096	3307	3	1	0.86
primeiras	64096	3307	3	1	0.86
operações	64096	3307	3	1	0.86
adquirido	64096	3307	3	1	0.86
histórias	64096	3307	3	1	0.86
metade	64096	3307	3	1	0.86
viu	64096	3307	3	1	0.86
vindo	64096	3307	3	1	0.86
voltada	64096	3307	3	1	0.86
ficou	64096	3307	3	1	0.86
nehamas	64096	3307	3	1	0.86
secundária	64096	3307	3	1	0.86
estranha	64096	3307	3	1	0.86
george	64096	3307	3	1	0.86
analysis	64096	3307	3	1	0.86
excelente	64096	3307	3	1	0.86
procura	64096	3307	3	1	0.86
schrift	64096	3307	3	1	0.86
elogia	64096	3307	3	1	0.86
seio	64096	3307	3	1	0.86
demonstra	64096	3307	3	1	0.86
itálico	64096	3307	3	1	0.86
pretendo	64096	3307	3	1	0.86
favoráveis	64096	3307	3	1	0.86
elogiar	64096	3307	3	1	0.86
dogmático	64096	3307	3	1	0.86
meter	64096	3307	3	1	0.86
inteiro	64096	3307	3	1	0.86
dicotomia	64096	3307	3	1	0.86
infra	64096	3307	3	1	0.86
ligados	64096	3307	3	1	0.86
tardia	64096	3307	3	1	0.86
manipulação	64096	3307	3	1	0.86
exigência	64096	3307	3	1	0.86
alcance	64096	3307	3	1	0.86
mudou	64096	3307	3	1	0.86
revelam	64096	3307	3	1	0.86
velho	64096	3307	3	1	0.86
divisões	64096	3307	3	1	0.86
abrangem	64096	3307	3	1	0.86
construídos	64096	3307	3	1	0.86
estiver	64096	3307	3	1	0.86
salto	64096	3307	3	1	0.86
neutra	64096	3307	3	1	0.86
conceder	64096	3307	3	1	0.86
meras	64096	3307	3	1	0.86
contar	64096	3307	3	1	0.86
ficamos	64096	3307	3	1	0.86
app	64096	3307	3	1	0.86
follow	64096	3307	3	1	0.86
min	64096	3307	3	1	0.86
share	64096	3307	3	1	0.86
ruins	64096	3307	3	1	0.86
chamadas	64096	3307	3	1	0.86
incluído	64096	3307	3	1	0.86
obs	64096	3307	3	1	0.86
seta	64096	3307	3	1	0.86
causal	64096	3307	3	1	0.86
comunismo	64096	3307	3	1	0.86
parâmetros	64096	3307	3	1	0.86
teóricos	64096	3307	3	1	0.86
preços	64096	3307	3	1	0.86
absurdo	64096	3307	3	1	0.86
classificação	64096	3307	3	1	0.86
meses	64096	3307	3	1	0.86
atrás	64096	3307	3	1	0.86
percebeu	64096	3307	3	1	0.86
médicas	64096	3307	3	1	0.86
insiste	64096	3307	3	1	0.86
euros	64096	3307	3	1	0.86
arteríolas	64096	3307	3	1	0.86
nervoso	64096	3307	3	1	0.86
hemodinâmica	64096	3307	3	1	0.86
sustentação	64096	3307	3	1	0.86
cuja	64096	3307	3	1	0.86
indícios	64096	3307	3	1	0.86
compara	64096	3307	3	1	0.86
ausência	64096	3307	3	1	0.86
constatação	64096	3307	3	1	0.86
puderam	64096	3307	3	1	0.86
sujeita	64096	3307	3	1	0.86
mesmos	64096	3307	15	2	0.85
respostas	64096	3307	15	2	0.85
seu	64096	3307	165	8	0.85
pelos	64096	3307	50	4	0.85
isso	64096	3307	72	5	0.83
tudo	64096	3307	52	4	0.82
compreensão	64096	3307	16	2	0.82
fora	64096	3307	16	2	0.82
regras	64096	3307	16	2	0.82
prova	64096	3307	33	3	0.82
temos	64096	3307	34	3	0.80
depois	64096	3307	34	3	0.80
teoria	64096	3307	34	3	0.80
significa	64096	3307	17	2	0.79
realmente	64096	3307	17	2	0.79
tinha	64096	3307	17	2	0.79
falsa	64096	3307	17	2	0.79
parte	64096	3307	113	6	0.78
religião	64096	3307	35	3	0.78
conceitos	64096	3307	35	3	0.78
fazer	64096	3307	84	5	0.76
além	64096	3307	58	4	0.76
qualquer	64096	3307	58	4	0.76
já	64096	3307	86	5	0.76
prática	64096	3307	18	2	0.76
contrário	64096	3307	18	2	0.76
pois	64096	3307	59	4	0.76
glorificação	64096	3307	4	1	0.75
unido	64096	3307	4	1	0.75
aberto	64096	3307	4	1	0.75
deixou	64096	3307	4	1	0.75
tratar	64096	3307	4	1	0.75
daquilo	64096	3307	4	1	0.75
chamar	64096	3307	4	1	0.75
estrelas	64096	3307	4	1	0.75
falsificação	64096	3307	4	1	0.75
tais	64096	3307	4	1	0.75
senão	64096	3307	4	1	0.75
combina	64096	3307	4	1	0.75
positivos	64096	3307	4	1	0.75
reconhece	64096	3307	4	1	0.75
últimos	64096	3307	4	1	0.75
opõe	64096	3307	4	1	0.75
inequívoco	64096	3307	4	1	0.75
restrições	64096	3307	4	1	0.75
